id,version,description,title,timezone,details,duration,updated_at,points,steps,created_at,calories,distance_miles,duration_millis,account_id,occurred_at,workout_entry_id,google_place_id,photo_url,activity_count,apple_device_name,apple_source_name,apple_workout_uuid,activity_type,activity_metric_amount,activity_type_id
288863717,v2,,👀,America/Bahia,,41,2025-07-17T10:47:17.884004Z,1.03,,2025-07-17T09:15:23.995174Z,,,2472000,4624187,2025-07-17T09:14:00.000000Z,128985163,,https://cdn.gymrats.app/95fb492a-2251-4b54-b38f-f3a0181e0688.jpg,1,,,,,,
288898823,v2,,1/60,America/Bahia,,45,2025-07-17T10:12:57.373439Z,1.1291666666666667,,2025-07-17T10:12:57.373439Z,278,,2710000,512030,2025-07-17T09:22:00.000000Z,129000763,,https://cdn.gymrats.app/e789a959-bfad-4ecd-b189-47d3708df7f4.jpg,1,,,,,,
288913230,v2,,1/60,America/Bahia,,46,2025-07-17T10:32:10.088431Z,1.1733333333333333,,2025-07-17T10:32:10.088431Z,339,"""2.386065378191362""",2816000,4629843,2025-07-17T09:29:00.000000Z,129007159,,https://cdn.gymrats.app/ae228adc-8b79-4c3f-b4c1-5429d849fb67.jpg,1,,,,,,
289045686,v2,Fortalecimento dos ombros,Funcional ,America/Bahia,,60,2025-07-17T13:27:52.134772Z,1.5,,2025-07-17T13:26:20.513148Z,,,3600000,900220,2025-07-17T13:25:58.000000Z,129065832,,https://cdn.gymrats.app/6e867875-1a04-4e3d-87e6-41725c93b166.jpg,0,,,,,,d9e2db72-57da-4042-9a1b-8636599be2b3
289148770,v2,,Treino treinado,America/Bahia,,49,2025-07-17T15:55:22.250792Z,1.225,6314,2025-07-17T15:55:22.250792Z,519,"""4.074322526528732""",2940000,193425,2025-07-17T09:07:11.000000Z,129111703,,https://cdn.gymrats.app/7600c951-88eb-481f-bf94-b4b1c2274963.jpg,1,,,,,,
289151686,v2,Dia 1 entregue!,✅✅✅,America/Bahia,,54,2025-07-17T15:59:14.847854Z,1.3699999999999999,,2025-07-17T15:59:14.847854Z,,,3288000,4441412,2025-07-17T08:59:00.000000Z,129112997,,https://cdn.gymrats.app/294e1d64-b464-4780-8f4b-adc8cd9533d3.jpg,1,,,,,,
289154711,v2,Foco total!,Dia 1,America/Bahia,,60,2025-07-17T16:03:00.387690Z,1.5,,2025-07-17T16:03:00.387690Z,,,3600000,4629792,2025-07-17T16:02:00.000000Z,129114325,,https://cdn.gymrats.app/46417051-be32-4a7b-9568-22432c1e73fa.jpg,1,,,,,,
289427666,v2,,Aula pilates,America/Sao_Paulo,,59,2025-07-18T11:18:01.559770Z,1.475,,2025-07-17T21:56:08.687960Z,,,3540000,4633060,2025-07-17T22:01:03.836145Z,129235607,,https://cdn.gymrats.app/d57186b5-23c9-4e85-a140-a029fe1ce05d.jpg,1,,,,,,
289449814,v2,,Musculação,America/Sao_Paulo,,49,2025-07-17T22:31:30.932981Z,1.225,,2025-07-17T22:10:19.865814Z,523,,2940000,4633092,2025-07-17T21:19:00.000000Z,129245440,,https://cdn.gymrats.app/ca039614-082e-47b4-baae-270c54c02ed0.jpg,0,,,,,,a754f3f0-40c3-4042-acac-d3dbbb3eb241
289453672,v2,,Musculação ,America/Bahia,,48,2025-07-17T23:04:39.048046Z,1.2,,2025-07-17T22:12:43.743673Z,,,2880000,4626632,2025-07-17T22:12:20.000000Z,129247146,,https://cdn.gymrats.app/26174afa-c207-4e17-9d80-d25ad1d08ec8.jpg,0,,,,,,a754f3f0-40c3-4042-acac-d3dbbb3eb241
289458050,v2,,Preparem-se!,America/Bahia,,43,2025-07-17T22:15:23.796027Z,1.075,,2025-07-17T22:15:23.796027Z,,,2580000,4632908,2025-07-17T21:30:00.000000Z,129249091,,https://cdn.gymrats.app/4b15fd5c-56f1-4fe5-ab83-90a68887f047.jpg,1,,,,,,
289473770,v2,,✅,America/Sao_Paulo,,41,2025-07-17T22:34:56.938007Z,1.025,5026,2025-07-17T22:25:20.815391Z,493,"""2.1561580370635487""",2460000,4630486,2025-07-17T22:24:42.000000Z,129256053,,https://cdn.gymrats.app/2e9cdf07-2421-4f21-a0f6-d83819eb4d24.jpg,0,,,,,,8aa60e4c-62d9-4ca6-949b-f9425eb35ecc
289493170,v2,,Treino de pernaaa,America/Bahia,"{""id"":205459,""updated_at"":""2025-07-17T22:37:37"",""created_at"":""2025-07-17T22:37:37"",""workout_id"":289493170,""location_latitude"":""-13.0047957"",""location_longitude"":""-38.5304777""}",73,2025-07-17T22:37:37.839326Z,1.825,,2025-07-17T22:37:37.839326Z,,,4380000,2435077,2025-07-17T22:35:12.410875Z,129264611,,https://cdn.gymrats.app/8e288196-b88a-4620-8dff-b98de98f4d77.jpg,1,,,,,,
