id,updated_at,content,created_at,account_id,workout_id
28707527,2025-07-17T23:42:29.858312Z,O gigante acordou 🙏🏼,2025-07-17T23:42:29.858312Z,1644752,288863717
28709781,2025-07-18T00:01:20.694885Z,Amanhã tem que tá inteiro pro trabalho Cris kkkk,2025-07-18T00:01:20.694885Z,4629792,289427666
28704033,2025-07-17T23:12:33.419010Z,Amanhã não consegue nem ir trabalhar  depois desse treino,2025-07-17T23:12:33.419010Z,731782,289427666
28703238,2025-07-17T23:06:08.770807Z,kkkkkkkk,2025-07-17T23:06:08.770807Z,512030,289427666
28696672,2025-07-17T22:05:31.937506Z,o homem é uma máquina de fazer pilates,2025-07-17T22:05:31.937506Z,370237,289427666
28696120,2025-07-17T21:59:25.003940Z,"Acho que a duração ficou de 19h, Cris!",2025-07-17T21:59:25.003940Z,4441412,289427666
28707149,2025-07-17T23:39:22.726804Z,Boa Janiiiii,2025-07-17T23:39:22.726804Z,1644752,289453672
28704049,2025-07-17T23:12:47.734667Z,O gigante acordou,2025-07-17T23:12:47.734667Z,731782,289458050
28703284,2025-07-17T23:06:29.628939Z,uma maaaaaaquina de pular corda,2025-07-17T23:06:29.628939Z,512030,289458050
28703966,2025-07-17T23:11:53.741860Z,Agora começou 👏🏾👏🏾👏🏾👏🏾👏🏾,2025-07-17T23:11:53.741860Z,731782,289473770
28707215,2025-07-17T23:39:54.486740Z,Só a camisa que é feia meu amigo 🥲,2025-07-17T23:39:54.486740Z,1644752,289493170
28707266,2025-07-17T23:40:18.410261Z,Saiu da jaulaaa,2025-07-17T23:40:18.410261Z,1644752,289497622
28729097,2025-07-18T10:37:22.437861Z,Olha só!!! Até o que é pai de recém nascido foi ein,2025-07-18T10:37:22.437861Z,4441412,289498580
28707305,2025-07-17T23:40:38.822455Z,Muito beeeem,2025-07-17T23:40:38.822455Z,1644752,289498580
28707568,2025-07-17T23:42:46.911680Z,Pra cimaaa,2025-07-17T23:42:46.911680Z,1644752,289533063
28709059,2025-07-17T23:55:14.584556Z,Bora natiiiii,2025-07-17T23:55:14.584556Z,1644752,289622742
28726429,2025-07-18T08:26:51.376685Z,Tem que comprovar… cadê a foto?,2025-07-18T08:26:51.376685Z,4441412,289650720
28714268,2025-07-18T00:39:59.485037Z,Pra cima,2025-07-18T00:39:59.485037Z,4629792,289691885
28727722,2025-07-18T09:55:19.345468Z,KKKKKKKKKKKKKKKKKKKKK,2025-07-18T09:55:19.345468Z,288715,289839102
28727111,2025-07-18T09:24:34.684726Z,"Velocidade 4,4, favor olhar corretamente, grata kkkkkkk",2025-07-18T09:24:34.684726Z,4624187,289839102
28726649,2025-07-18T08:53:56.329100Z,Na esteira desligada?,2025-07-18T08:53:56.329100Z,4629792,289839102
28729180,2025-07-18T10:40:16.353137Z,Treino de perna e ombro,2025-07-18T10:40:16.353137Z,512030,289896046
28746454,2025-07-18T16:36:17.661929Z,Nas férias 💪🏻💪🏻💪🏻,2025-07-18T16:36:17.661929Z,731782,290133551
28779579,2025-07-19T01:51:03.102687Z,Agora simmmmm,2025-07-19T01:51:03.102687Z,1644752,290514484
28771624,2025-07-18T23:51:33.497865Z,"Bora, Pós!",2025-07-18T23:51:33.497865Z,4441412,290519088
28771414,2025-07-18T23:49:05.960530Z,Boa Tacio,2025-07-18T23:49:05.960530Z,4629792,290519088
28783541,2025-07-19T09:15:30.044435Z,Boooa,2025-07-19T09:15:30.044435Z,4629792,290643416
28784191,2025-07-19T10:35:45.824575Z,Boa Edivan,2025-07-19T10:35:45.824575Z,4629792,290687442
28794627,2025-07-19T15:00:04.472077Z,Boa Rane,2025-07-19T15:00:04.472077Z,4629792,290696412
28787614,2025-07-19T12:55:38.614834Z,uma maaaquina de fazer pontos,2025-07-19T12:55:38.614834Z,512030,290696412
28787289,2025-07-19T12:46:55.389114Z,"Se fosse por variedade de esporte, o prêmio era seu!!",2025-07-19T12:46:55.389114Z,731782,290696412
28822835,2025-07-20T12:24:17.132309Z,😂😂😂😂,2025-07-20T12:24:17.132309Z,4624187,290698837
28802768,2025-07-19T17:16:55.605948Z,Segue a líder,2025-07-19T17:16:55.605948Z,1177597,290698837
28787187,2025-07-19T12:44:37.022175Z,Olha ele 👏🏾,2025-07-19T12:44:37.022175Z,731782,290721220
28787198,2025-07-19T12:44:58.061432Z,Muito bom Nat 👏🏾👏🏾👏🏾,2025-07-19T12:44:58.061432Z,731782,290728091
28787160,2025-07-19T12:43:53.033941Z,Top 👏🏾👏🏾👏🏾🏃🏻‍♀️‍➡️,2025-07-19T12:43:53.033941Z,731782,290742326
28786736,2025-07-19T12:31:57.111302Z,Boa Everson 👏🏻👏🏻👏🏻,2025-07-19T12:31:57.111302Z,4629792,290742326
28788892,2025-07-19T13:23:38.529841Z,👏🏻👏🏻👏🏻 boa,2025-07-19T13:23:38.529841Z,4629792,290750399
28790535,2025-07-19T13:56:11.609247Z,ALELUIA,2025-07-19T13:56:11.609247Z,4441412,290802772
28789888,2025-07-19T13:43:29.370905Z,Boa,2025-07-19T13:43:29.370905Z,4629792,290802772
28793906,2025-07-19T14:49:20.407714Z,Afffff queria uma vaguinha nessa aula tb 😭,2025-07-19T14:49:20.407714Z,4441412,290870514
28812743,2025-07-19T21:31:08.793729Z,"No limiar, essa aí com certeza foi a alternativa de mínimo custo global!! Kkk",2025-07-19T21:31:08.793729Z,4629792,290871775
28812716,2025-07-19T21:30:22.953469Z,40:16 kkkkk,2025-07-19T21:30:22.953469Z,731782,290871775
28794496,2025-07-19T14:58:17.536378Z,Boa Neri,2025-07-19T14:58:17.536378Z,4629792,290871775
28799578,2025-07-19T16:17:09.342960Z,Ué tu postou 2x,2025-07-19T16:17:09.342960Z,4441412,290941936
28812683,2025-07-19T21:29:32.891113Z,Boa Liz 👏🏾👏🏾👏🏾👏🏾👏🏾,2025-07-19T21:29:32.891113Z,731782,290977505
28812725,2025-07-19T21:30:38.218474Z,#planejamento 👏🏾👏🏾👏🏾,2025-07-19T21:30:38.218474Z,731782,290979412
28804625,2025-07-19T17:57:43.842503Z,Como assim 23km kakaka socorro,2025-07-19T17:57:43.842503Z,4441412,291036525
28812055,2025-07-19T21:13:19.446046Z,Boa Brunão,2025-07-19T21:13:19.446046Z,4629792,291142417
28812648,2025-07-19T21:28:54.297838Z,Ai sim!!! 👏🏾,2025-07-19T21:28:54.297838Z,731782,291150251
28812043,2025-07-19T21:12:56.532023Z,Boa Bruna,2025-07-19T21:12:56.532023Z,4629792,291150251
28823129,2025-07-20T12:40:10.001000Z,"Pq não descansou ontem, Lui? 🙂‍↔️",2025-07-20T12:40:10.001000Z,1644752,291206772
28816235,2025-07-19T23:26:37.371481Z,BORA PÓS,2025-07-19T23:26:37.371481Z,4441412,291206772
28815951,2025-07-19T23:14:15.571231Z,Boa Lu,2025-07-19T23:14:15.571231Z,4629792,291206772
28816758,2025-07-19T23:45:01.829165Z,Deus opera através de mim,2025-07-19T23:45:01.829165Z,4640490,291217304
28816745,2025-07-19T23:44:15.189095Z,Estamos vivenciando um milagre aqui,2025-07-19T23:44:15.189095Z,4441412,291217304
28821670,2025-07-20T10:50:24.423107Z,Cuidando da mente e do corpo 💆🏻‍♀️,2025-07-20T10:50:24.423107Z,4441412,291290955
28824142,2025-07-20T13:23:43.228005Z,A maioral 🏃‍♀️‍➡️,2025-07-20T13:23:43.228005Z,1177597,291292365
28822003,2025-07-20T11:26:44.173940Z,👏👏👏👏,2025-07-20T11:26:44.173940Z,4624187,291292365
28821725,2025-07-20T10:59:03.057876Z,BOA,2025-07-20T10:59:03.057876Z,4441412,291293424
28822979,2025-07-20T12:31:37.962360Z,O que uma competição não faz hahahaha boaaa,2025-07-20T12:31:37.962360Z,1644752,291301309
28822755,2025-07-20T12:19:04.782450Z,Kkkkkkk,2025-07-20T12:19:04.782450Z,4624187,291301309
28822452,2025-07-20T11:59:16.821875Z,Chocadaaaa,2025-07-20T11:59:16.821875Z,4441412,291301309
28822178,2025-07-20T11:40:48.631364Z,indo contra todas as estatísticas 🫠🫠🫠,2025-07-20T11:40:48.631364Z,731782,291301309
28822652,2025-07-20T12:13:14.529246Z,Show Inácio 👏🏾👏🏾👏🏾,2025-07-20T12:13:14.529246Z,731782,291307096
28822667,2025-07-20T12:14:07.348118Z,Na chapada e não tem foto??? 👀,2025-07-20T12:14:07.348118Z,731782,291308555
28830961,2025-07-20T16:19:33.098068Z,#planejamento,2025-07-20T16:19:33.098068Z,731782,291321305
28830914,2025-07-20T16:18:17.785639Z,Se até o Carlos foi…. Da pra acreditar que a pós tá no game,2025-07-20T16:18:17.785639Z,731782,291349308
28827052,2025-07-20T14:45:33.873578Z,3 horas???? uma máquina,2025-07-20T14:45:33.873578Z,512030,291349308
28830866,2025-07-20T16:17:24.320871Z,"Disciplina não, competição kkkkkk",2025-07-20T16:17:24.320871Z,731782,291360018
28826319,2025-07-20T14:27:11.308923Z,Boaaaa,2025-07-20T14:27:11.308923Z,4624187,291384809
28825860,2025-07-20T14:15:31.716368Z,Boaaaaa natiiii,2025-07-20T14:15:31.716368Z,1644752,291384809
28830936,2025-07-20T16:18:47.850353Z,#planejamento,2025-07-20T16:18:47.850353Z,731782,291427059
28831419,2025-07-20T16:32:05.452414Z,Boa Everson,2025-07-20T16:32:05.452414Z,4629792,291488638
28838011,2025-07-20T20:45:09.519118Z,Valeu pela atividade coletiva haha,2025-07-20T20:45:09.519118Z,4629792,291559444
28837873,2025-07-20T20:40:28.460949Z,Só pode um por dia 🙅🏻‍♀️,2025-07-20T20:40:28.460949Z,731782,291559444
28837860,2025-07-20T20:39:56.913763Z,👏🏾👏🏾👏🏾👏🏾👏🏾,2025-07-20T20:39:56.913763Z,731782,291560325
28837848,2025-07-20T20:39:45.240412Z,Show 👏🏾👏🏾👏🏾👏🏾,2025-07-20T20:39:45.240412Z,731782,291560978
28837842,2025-07-20T20:39:37.137480Z,Planejamento sempre chegando antes 🙃🤣👏🏾,2025-07-20T20:39:37.137480Z,731782,291561464
28837827,2025-07-20T20:39:05.471774Z,Até o Matheus foi 🙃🙃🙃🙃🙃👏🏾👏🏾👏🏾👏🏾👏🏾,2025-07-20T20:39:05.471774Z,731782,291562103
28837806,2025-07-20T20:38:28.065534Z,👏🏾👏🏾👏🏾👏🏾👏🏾,2025-07-20T20:38:28.065534Z,731782,291566850
28837020,2025-07-20T20:04:41.533396Z,"Boaaa, Lu!",2025-07-20T20:04:41.533396Z,4441412,291566850
28845095,2025-07-21T01:20:28.914982Z,Está sem batimentos?,2025-07-21T01:20:28.914982Z,4629792,291704043
28848939,2025-07-21T10:39:29.801718Z,Oss,2025-07-21T10:39:29.801718Z,4629792,291786729
28848480,2025-07-21T10:19:41.240914Z,Boaaaa!!! 👏🏼,2025-07-21T10:19:41.240914Z,4441412,291786729
28887182,2025-07-21T23:05:29.629843Z,O meu cronometro tbm conta se eu estiver parado…😒🤔🧐,2025-07-21T23:05:29.629843Z,4629792,291927907
28887242,2025-07-21T23:05:58.069652Z,Boa Maciel,2025-07-21T23:05:58.069652Z,4629792,291938318
28884740,2025-07-21T22:46:14.261084Z,Voando!!,2025-07-21T22:46:14.261084Z,1644752,292250084
28883044,2025-07-21T22:31:35.028960Z,Boa Ismar 👏🏾👏🏾👏🏾,2025-07-21T22:31:35.028960Z,731782,292250084
28886555,2025-07-21T23:00:46.641933Z,Era só não ir pô 😭,2025-07-21T23:00:46.641933Z,4441412,292390772
28884654,2025-07-21T22:45:35.146907Z,😂😂😂 por isso hoje foi de levinho,2025-07-21T22:45:35.146907Z,1644752,292390772
28883972,2025-07-21T22:39:44.471483Z,Cê não tava cansada??,2025-07-21T22:39:44.471483Z,4441412,292390772
28883918,2025-07-21T22:39:21.647333Z,Oh no,2025-07-21T22:39:21.647333Z,4441412,292390772
