id,updated_at,content,created_at,account_id,message_type
14036500,2025-07-17T16:00:07.790061Z,"@alex, tu tem que postar o seu treino de hoje de novo",2025-07-17T16:00:07.790061Z,4441412,text
14106834,2025-07-20T22:33:17.828640Z,Segue o líder 🫶🏼,2025-07-20T22:33:17.828640Z,1644752,text
14108764,2025-07-21T01:05:19.866551Z,Segue o vice porque o líder disparou #NDDI 💚,2025-07-21T01:05:19.866551Z,4624187,text
14108793,2025-07-21T01:08:51.027869Z,Vocês não estão contando corretamente a pontuação,2025-07-21T01:08:51.027869Z,4629792,text
14235061,2025-07-25T00:00:50.258097Z,Estudos e Proteção 🏆,2025-07-25T00:00:50.258097Z,512030,text
14237055,2025-07-25T00:40:24.404080Z,🚀,2025-07-25T00:40:24.404080Z,900220,text
14238133,2025-07-25T01:06:49.952905Z,Eu já desisti do coletivo… 😭,2025-07-25T01:06:49.952905Z,4441412,text
14522878,2025-08-05T00:27:43.850123Z,https://cdn.gymrats.app/a9c41fee-a26e-47ab-b7e7-dd6f2f0b3334.jpg,2025-08-05T00:27:43.850123Z,731782,image
14522912,2025-08-05T00:28:15.707525Z,A disputa pelo primeiro lugar está cada vez menor 👀🫠,2025-08-05T00:28:15.707525Z,731782,text
14522929,2025-08-05T00:28:32.035756Z,Por ordem alfabética eu sou o líder?,2025-08-05T00:28:32.035756Z,4629792,text
14522937,2025-08-05T00:28:47.759145Z,Nada mais justo,2025-08-05T00:28:47.759145Z,4629792,text
14522962,2025-08-05T00:29:21.092594Z,👀,2025-08-05T00:29:21.092594Z,1644752,text
14523017,2025-08-05T00:30:05.659201Z,"Calma Alex , que pra você não vai precisar de regra de desempate 🙅🏻‍♀️",2025-08-05T00:30:05.659201Z,731782,text
14544608,2025-08-05T18:23:42.342274Z,"Tá lindo de ver!!
Deixa assim mesmo.",2025-08-05T18:23:42.342274Z,4626632,text
14755564,2025-08-13T00:36:18.379300Z,"Cheguei agora e ficando em sétimo no setor da pós operacao, tá de bom tamanho. Kkkkk",2025-08-13T00:36:18.379300Z,4818388,text
14761418,2025-08-13T09:36:19.500170Z,"Pra você ver, Hermilson…",2025-08-13T09:36:19.500170Z,4441412,text
14790180,2025-08-14T00:32:22.677058Z,Meu ponto de ontem não foi contabilizado.,2025-08-14T00:32:22.677058Z,4818388,text
14816240,2025-08-14T22:10:04.320952Z,Tem dois dias que não conta…tem que ajustar,2025-08-14T22:10:04.320952Z,4629792,text
14816259,2025-08-14T22:10:18.166758Z,O seu Hermilson,2025-08-14T22:10:18.166758Z,4629792,text
15035842,2025-08-22T02:50:23.729329Z,Hermilson tu tem que colocar o tempo na atividade para conseguir contabilizar… ajuda o homem aí Alexandro rsrs,2025-08-22T02:50:23.729329Z,4613998,text
15036669,2025-08-22T07:49:53.435895Z,Vamos ter que ajustar manual,2025-08-22T07:49:53.435895Z,4629792,text
15066248,2025-08-23T09:22:32.422057Z,https://cdn.gymrats.app/a44dc92d-53e6-4c93-9c4c-6795c7b61d40.jpg,2025-08-23T09:22:32.422057Z,731782,image
15066252,2025-08-23T09:23:23.518397Z,O que rolou que só temos 5 pessoas no ranking individual? 🤯,2025-08-23T09:23:23.518397Z,731782,text
15066255,2025-08-23T09:24:55.575061Z,https://cdn.gymrats.app/8c69f95d-9d25-4723-a042-df5ad9e83e61.jpg,2025-08-23T09:24:55.575061Z,731782,image
15066260,2025-08-23T09:25:29.096237Z,"E isso mesmo, equipes?",2025-08-23T09:25:29.096237Z,731782,text
15066261,2025-08-23T09:25:29.263128Z,"E isso mesmo, equipes?",2025-08-23T09:25:29.263128Z,731782,text
15067185,2025-08-23T11:27:44.991899Z,Vamos vencer,2025-08-23T11:27:44.991899Z,4629792,text
15748531,2025-09-14T12:24:46.491360Z,Não tá subindo as atividades de hoje ?,2025-09-14T12:24:46.491360Z,4626331,text
15748572,2025-09-14T12:27:23.684859Z,https://cdn.gymrats.app/6d19af1a-0677-4b88-a767-89b00ab49fc8.jpg,2025-09-14T12:27:23.684859Z,4626331,image
